,ANSWER,QUESTION.question,QUESTION.paragraph
814,"Injuries to the tree base, roots, or stem",What should be avoided to prevent tree diseases?,Management: Avoid injuries to the tree base/roots/stem
815,Necrotic sunken spots,What is a necrotic symptom found on stems?,Symptoms: Necrotic sunken spots on stem
816,Presence of fruiting bodies,What symptom indicates honey-colored mushrooms on the base of a tree?,Symptoms: Presence of fruiting bodies or honey coloured mushroom like structures at the base of the tree
817,By managing insect pests in the vicinity,How should tree vigour be maintained?,Management: Maintain tree vigour by managing insect pests in the vicinity
818,Trichoderma harzianum with farmyard manure (FYM),What is used for soil application to manage tree diseases?,Management: Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg well-decomposed farmyard manure (FYM)
819,Necrotic sunken lesions,What kind of lesions do cankers form on stems?,Symptoms: Necrotic sunken lesions on stem
820,Early removal and disposal,What should be done with dead trees to manage diseases?,Management: Early removal and disposal of dead trees
821,The inner bark darkens,What happens to the inner bark in case of bacterial canker?,Symptoms: Darkened inner bark
822,Black water-soaked sunken lesions on the stem,What are the symptoms of bacterial canker?,Symptoms: Black water-soaked sunken lesions in case of bacterial canker
823,Leaf scorching and branch drying in big branches,What happens when there is branch drying initiation?,"Symptoms: Leaf scorching, branch drying initiation in single big branches"
824,Rotting of heart wood at centre,What are the early indications of rotting heartwood?,Symptoms: Rotting of heart wood at the centre of timber cross section
825,Bacterial canker,What type of canker is associated with the pathogen Xanthomonas populi?,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.) Bacterial canker (Xanthomonas populi)"
826,"Insect pests should be controlled to maintain tree health, which helps in maintaining tree vigour.",How should insect pests in the vicinity be managed to maintain tree vigour?,Management: Maintain tree vigour by managing insect pests in the vicinity
827,Fungal fruiting bodies appear as honey-colored mushroom-like structures at the base of the tree.,What indicates the presence of fungal fruiting bodies in trees?,Symptoms: Presence of fruiting bodies or honey coloured mushroom like structures at the base of the tree
828,"Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.",Which fungi are associated with canker diseases?,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.)"
829,Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg of well-decomposed farmyard manure helps in managing tree disease.,What soil application helps in managing tree disease?,Management: Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg well-decomposed farmyard manure (FYM)
830,Infected trees should be removed and disposed of early to manage diseases effectively.,What should be done to infected trees to manage diseases effectively?,Management: Early removal and disposal of dead trees
831,The stem shows necrotic sunken spots in case of bacterial canker.,What part of the tree shows necrotic symptoms in bacterial canker?,Symptoms: Necrotic sunken spots on stem
832,Use of canker-resistant clones.,What is one method to manage plant diseases in agroforestry?,Use of canker-resistant clones
833,With a sterile knife dipped in 70% alcohol.,How should the infected portion be removed?,Removal of the infected portion with sterile knife dipped in 70% alcohol
834,10%.,What concentration of Bordeaux paste is recommended for application?,Application of Bordeaux paste (10%) on the cut surface and wounds
835,Injuries to the tree stem.,What should be avoided to help manage plant diseases?,Avoid injuries to the tree stem
836,70% alcohol.,What is used to disinfect the infected portion before removal?,Removal of the infected portion with sterile knife dipped in 70% alcohol
837,Application of 10% Bordeaux paste.,Which management practice involves direct application on the tree?,Application of Bordeaux paste (10%) on the cut surface and wounds
838,Canker-resistant clones.,Which type of clones are suggested for managing canker?,Use of canker-resistant clones
839,Injuries to the tree stem should be avoided.,What does the management section in the image suggest avoiding?,Avoid injuries to the tree stem
840,To remove the infected portion of the tree.,What is the primary purpose of using a sterile knife dipped in alcohol?,Removal of the infected portion with sterile knife dipped in 70% alcohol
841,It helps in protecting the cut surface and wounds from infections.,Why is Bordeaux paste applied to the cut surface and wounds?,Application of Bordeaux paste (10%) on the cut surface and wounds
842,Canker-resistant tree clones are recommended.,What type of tree clones are recommended for plant disease management?,Use of canker-resistant clones
843,Bordeaux paste is a fungicide applied to cut surfaces and wounds to prevent infection.,"What substance is Bordeaux paste, and how is it used?",Application of Bordeaux paste (10%) on the cut surface and wounds
844,"It ensures the removal process is sanitary, decreasing infection risk.",What is the benefit of using a sterile knife dipped in 70% alcohol for lesion removal?,Removal of the infected portion with sterile knife dipped in 70% alcohol
845,One method of preventing injury to plants is avoiding any harm to the tree stem.,Describe one method mentioned for preventing injury to plants.,Avoid injuries to the tree stem
846,The application of Bordeaux paste helps to protect cut surfaces and wounds from further infections and ensures proper healing.,How does the application of Bordeaux paste contribute to plant disease management?,Application of Bordeaux paste (10%) on the cut surface and wounds
847,"Canker-resistant clones help in reducing the susceptibility of trees to canker diseases, ensuring better tree health.",What is the role of canker-resistant clones in agroforestry?,Use of canker-resistant clones
848,"Avoiding injuries to the tree stem is crucial as it reduces entry points for pathogens, lowering the risk of disease.",Why is avoiding injuries to the tree stem essential in plant disease management?,Avoid injuries to the tree stem
849,Disinfect cutting instruments by dipping them in 70% alcohol before removing any infected portions.,What is the recommended procedure for disinfecting cutting instruments while managing plant diseases?,Removal of the infected portion with sterile knife dipped in 70% alcohol
850,Bordeaux paste is a 10% fungicide paste applied to cut surfaces and wounds to protect plants from infections and promote healing.,How is Bordeaux paste prepared and used in agroforestry for disease management?,Application of Bordeaux paste (10%) on the cut surface and wounds
851,"Core strategies include using canker-resistant clones, avoiding stem injuries, removing infected parts with a sterilized knife, and applying 10% Bordeaux paste.",What are the core strategies listed for management of plant diseases in agroforestry?,"Management:
• Use of canker-resistant clones
• Avoid injuries to the tree stem
• Removal of the infected portion with sterile knife dipped in 70% alcohol
• Application of Bordeaux paste (10%) on the cut surface and wounds"
852,Kikar,What is another name for the wattle tree?,"Acacias are also called wattle tree or kikar that grows up to 5-20 metre height with a dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum."
853,Plantae,What is the kingdom classification of the wattle tree?,"6.1 Plantsystematics
Kingdom: Plantae
Class: Rosids
Order: Fabales
Family: Fabaceae
Genus: Acacia
Species: nilotica/senegal"
854,Fabales,What is the order of the wattle tree?,"6.1 Plantsystematics
Kingdom: Plantae
Class: Rosids
Order: Fabales
Family: Fabaceae
Genus: Acacia
Species: nilotica/senegal"
855,Dense spheric crown,What kind of crown does the wattle tree have?,"Acacias are also called wattle tree or kikar that grows up to 5-20 metre height with a dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum."
856,Fabaceae,What family does the wattle tree belong to?,"6.1 Plantsystematics
Kingdom: Plantae
Class: Rosids
Order: Fabales
Family: Fabaceae
Genus: Acacia
Species: nilotica/senegal"
857,It supports tanning industries.,What is the significance of mature wattle tree bark?,"Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments. Black wattle tree bark has been supporting the tanning industries of several countries."
858,Reddish low-quality gum,What form is the wattle tree gum described as?,"Acacias are also called wattle tree or kikar that grows up to 5-20 metre height with a dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum."
859,"Australia, parts of Asia, Africa, Europe, and the Americas.",Where is the acacia genus distribution most significant?,"6.2 Distribution
Acacia being a large genus with more than 1000 species distributed throughout the Australia, parts of Asia, Africa, Europe and the Americas. This tree genus present in all terrestrial habitats, including alpine settings, rainforests, woodlands, grasslands, coastal dunes and deserts."
860,"All terrestrial habitats including alpine settings, rainforests, woodlands.",What are some habitats where Acacia can be found?,"6.2 Distribution
Acacia being a large genus with more than 1000 species distributed throughout the Australia, parts of Asia, Africa, Europe and the Americas. This tree genus present in all terrestrial habitats, including alpine settings, rainforests, woodlands, grasslands, coastal dunes and deserts."
861,Fusarium avenaceum and Aspergillus spp.,What fungal threats are the seeds of acacia prone to during germination?,"6.3 Common diseases
Seeds of acacia are prone to damage by seed borne fungi like Fusarium avenaceum and Aspergillus spp."
862,The timber,What part of the wattle tree is used for agricultural implements?,"Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments."
863,Ground into flour,What are black wattle tree seeds transformed into in some countries?,"Traditionally, the seeds of some acacia species are ground into flour and used as food supplement as well in Australia."
864,25% more protein,How do acacia seeds compare to cereals in terms of protein content?,"The seeds contain as much as 25% more protein than cereals, and they store well for long periods due to the hard seed coats."
865,Acacia species,What is the primary component of acacia in forests?,They are an important component in forests and in Australia they are second most spread forest trees after eucalyptus. India is native to few species of acacia and this tree has a wide presence in almost all Indian states.
866,Root rotting fungi,What diseases primarily affects mature trees?,Mature trees are commonly attacked by root rotting fungi such as Fomes badius (trunk rot); Fusarium pallidoroseum (root rot); Ganoderma lucidum; Polyporus gilvus (butt rot).
867,Acacia,What is the primary genus discussed in this chapter?,"6.1 Plantsystematics
Kingdom: Plantae
Class: Rosids
Order: Fabales
Family: Fabaceae
Genus: Acacia
Species: nilotica/senegal"
868,Seed treatment with captan (2g/kg seed).,What measure can save acacia seeds from Fusarium avenaceum and Aspergillus spp.?,"6.3 Common diseases
Seeds of acacia are prone to damage by seed borne fungi like Fusarium avenaceum and Aspergillus spp. and the seed treatment with captan (2g/kg seed) will save from the damage."
869,Agricultural implements and musical instruments,What are the timber uses of acacia species?,"Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments."
870,5-7.5 cm long in young trees,What are the dimensions of the spines found on young wattle trees?,"The tree has thin, straight, light grey spines in axillary pairs, usually in 3 to 12 pairs, 5-7.5 cm long in young trees, the same is absent in mature tree."
871,Grey-pinkish slash,What type of slash does the wattle tree bark exude?,"Acacias are also called wattle tree or kikar that grows up to 5-20 metre height with a dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum."
872,10%,What percentage of Bordeaux paste is recommended for application?,Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO4+10 litres of water)
873,Severe defoliation,What is the primary cause for the stag head appearance in Acacia trees?,Stag head appearance of the tree canopy due to severe defoliation
874,Fusarium solani and Ganoderma lucidum,Which pathogens are associated with Acacia mortality?,"Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
875,Fruiting bodies at the tree base,What indicates the base presence of bracket fungi in Acacia trees?,Presence of bracket fungi fruiting bodies at the tree base
876,2ml in 100ml water,How much tridemorph is recommended for root feed?,Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months
877,Wounds and cuts,What should be avoided to prevent further damage to Acacia roots or stem?,Avoid wounds and cuts to the roots/stem
878,Termites and borers,"Which insect damages the Acacia, requiring pest management?",Presence of insect pests and signs of damage caused by the termites and borers
879,Removal of fruiting bodies,Which method should be used to prevent the spread of infection from infected trees?,Removal of fruiting bodies if any from infected trees to avoid the disease spread
880,Seedlings may be adversely affected.,What happens to Acacia trees with prolonged water logging?,Preventing the seedlings from prolonged water logging and/or drought
881,Quality planting material,What type of planting material is recommended for Acacia management?,Use of quality planting material
882,To avoid secondary infections,Why is application of lime paste recommended at the tree base?,Application of lime paste to the tree base to avoid secondary infections
883,Discoloration of roots' vascular tissue.,What symptom involves discoloration in Acacia trees?,Discoloration of vascular tissue of the roots
884,"Healthy tree, Mortality in Acacia",What are the tree conditions discussed in the document?,Healthy tree    Mortality in Acacia
885,"Symptoms include stag head appearance, root rot, blackened feeder roots.",What are the symptoms of Acacia mortality as mentioned in the text?,"Symptoms: Stag head appearance of the tree canopy due to severe defoliation, Root rot and blackening of feeder roots, Discoloration of vascular tissue of the roots"
886,Major pathological problems in Acacia.,What are some of the major pathological problems in acacia trees?,6.4 Major pathological problems in acacia
887,Prevent seedlings from water logging and drought.,What are the management steps for preventing prolonged water logging in Acacia?,Preventing the seedlings from prolonged water logging and/or drought
888,Fusarium solani and Ganoderma lucidum,Which fungal diseases cause mortality in Acacia trees as listed?,"Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
889,Manage termite and borer damage.,How can Acacia trees be managed to avoid insect pest damage?,Presence of insect pests and signs of damage caused by the termites and borers
890,Apply 10% Bordeaux paste to cut surfaces.,How is Bordeaux paste applied as a management technique?,Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO4+10 litres of water)
891,Once a month for 3 months.,When should root feed with tridemorph 75% EC be applied?,Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months
892,Ravenelia acaciae-arabicae,What is the scientific name of Acacia rust?,6.4.2 Acacia rust (Ravenelia acaciae-arabicae)
893,Rusty brown pustules,What type of pustules are found on Acacia leaves affected by rust?,"Rusty brown pustules on leaves, stems and floral parts"
894,1ml/litre,What is the recommended dosage of Azoxystrobin spray for severe infection?,Azoxystrobin 23% EC @1ml/litre spray is recommended dosage if the infection is severe
895,"Leaf rachis, pods and the stem",What plant parts show malformation and hypertrophy due to Acacia rust?,"Malformation and hypertrophy on leaf rachis, pods and the stem"
896,Use of rust-resistant planting material,What is the best method to prevent losses from Acacia rust?,Use of rust-resistant planting material is the best method to prevent the losses
897,Large conspicuous galls,What symptom indicates a severe stage induced by Acacia rust fungus?,Large conspicuous galls in severe stages induced by the aecial stage of the fungus
898,It should be avoided at the advent of disease in the nursery.,Why should sprinkler irrigation be avoided for Acacia rust management?,Avoid sprinkler irrigation at the advent of disease in the nursery
899,"Management includes using rust-resistant planting material, avoiding sprinkler irrigation, removing and burying infected seedlings, and using Azoxystrobin 23% EC @ 1ml/litre spray for severe infections.",What are some management practices for controlling Acacia rust?,Management: Use of rust-resistant planting material is the best method to prevent the losses Avoid sprinkler irrigation at the advent of disease in the nursery Removal of infected seedlings and carefully burial underneath soil Azoxystrobin 23% EC @1ml/litre spray is recommended dosage if the infection is severe
900,The infected seedlings should be removed and buried underneath the soil.,How should infected seedlings be handled for Acacia rust management?,Removal of infected seedlings and carefully burial underneath soil
901,It indicates a severe stage of Acacia rust induced by the aecial stage of the fungus.,What does the presence of large conspicuous galls indicate in Acacia trees?,Large conspicuous galls in severe stages induced by the aecial stage of the fungus
902,Acacia rust,What name is given to the rust disease affecting Acacia?,6.4.2 Acacia rust (Ravenelia acaciae-arabicae)
903,"One visible symptom of Acacia rust infection is the presence of rusty brown pustules on leaves, stems, and floral parts.",Describe one visible symptom that signifies Acacia rust infection.,"Rusty brown pustules on leaves, stems and floral parts"
904,Large conspicuous galls are caused by the aecial stage of the fungus in severe stages of Acacia rust.,What is the cause of large conspicuous galls in Acacia trees?,Large conspicuous galls in severe stages induced by the aecial stage of the fungus
905,"Symptoms on plant stems include rusty brown pustules, malformation, hypertrophy, and large conspicuous galls in severe stages.",What are the symptoms of Acacia rust on plant stems?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts Malformation and hypertrophy on leaf rachis, pods and the stem Large conspicuous galls in severe stages induced by the aecial stage of the fungus"
906,Avoiding sprinkler irrigation at the advent of disease in the nursery is recommended to prevent Acacia rust.,What preventive measure is recommended at the nursery level for Acacia rust?,Avoid sprinkler irrigation at the advent of disease in the nursery
907,It is recommended to remove infected seedlings and bury them carefully underneath soil.,What measures are recommended for dealing with infected seedlings of Acacia?,Removal of infected seedlings and carefully burial underneath soil
908,Azoxystrobin is used at a 23% EC @ 1ml/litre spray to manage severe Acacia rust infections.,What is Azoxystrobin's role in managing Acacia rust?,Azoxystrobin 23% EC @1ml/litre spray is recommended dosage if the infection is severe
909,Rust-resistant planting material should be used to prevent losses from Acacia rust.,Why should rust-resistant planting material be used for Acacia?,Use of rust-resistant planting material is the best method to prevent the losses
910,"Visible symptoms include rusty brown pustules, malformation, hypertrophy on leaf rachis, pods, stems, and large conspicuous galls.",What are the visible symptoms of Acacia rust?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts Malformation and hypertrophy on leaf rachis, pods and the stem Large conspicuous galls in severe stages induced by the aecial stage of the fungus"
911,Healthy foliage shows signs of rust pustules.,What is the visual indication of Acacia rust on healthy foliage?,Healthy foliage Rust pustules in Acacia nilotica
912,Dalbergia,What is the genus of Indian Rosewood?,7.1 Plant systematics
913,Rosids,What class does Dalbergia sissoo belong to?,7.1 Plant systematics
914,Fabaceae,Which family does Indian Rosewood belong to?,7.1 Plant systematics
915,200 to 1400 m,What is the distribution range in elevation for Dalbergia sissoo?,7.2 Distribution
916,"Tall, deciduous tree",What kind of tree is Dalbergia sissoo?,7.1 Plant systematics
917,Rhizoctonia solani,Which type of disease commonly causes irreversible damage to Dalbergia sissoo?,7.3 Common diseases
918,"Kashmir, Assam, Bengal, Sikkim, Uttar Pradesh, central and southern India",In which states of India is Dalbergia sissoo mostly grown?,7.2 Distribution
919,"It provides timber quality and can be used for various purposes such as furniture, panelling, ornamental work, and more.",How does Dalbergia sissoo help in agroforestry systems?,7 Indian Rose Wood (Dalbergia sissoo)
920,The fruit extract is used as molluscicide to inhibit freshwater snail problem.,What use of Dalbergia sissoo extract is mentioned in traditional medicine?,7 Indian Rose Wood (Dalbergia sissoo)
921,"In tropical and subtropical regions of Asia and Africa, along the riverbanks above 200 m elevation, ranging up to 1400 m asl.",Where is Dalbergia sissoo widely cultivated?,7.2 Distribution
922,"Its extraordinary strength, close grain, durability, and ornamental quality.",What properties make Indian Rosewood timber desirable?,7 Indian Rose Wood (Dalbergia sissoo)
923,"The leaves and young shoots are readily grazed by animals and used as fodder, especially during the winter season.",How is Dalbergia sissoo used in agroforestry for livestock?,7 Indian Rose Wood (Dalbergia sissoo)
924,It results in irreversible damage during seedling stage.,What type of damage to Dalbergia sissoo is caused by Fusarium oxysporum f. sp. dalbergiae?,7.3 Common diseases
925,Many diseases caused by fungal and insect damage leading to huge losses in cultivation.,What other types of diseases are common in Dalbergia sissoo?,7.3 Common diseases
926,"Treating skin diseases, blood diseases, syphilis, stomach problems, and as an expectorant.",List some medicinal uses of Dalbergia sissoo.,7 Indian Rose Wood (Dalbergia sissoo)
927,Various countries in Europe and elsewhere.,In which countries is Dalbergia sissoo exported from India?,7 Indian Rose Wood (Dalbergia sissoo)
928,Regular irrigation and protection from grazing wounds provide adequate assistance at this stage.,How are leaf spots in Dalbergia sissoo prevented?,7.3 Common diseases
929,It is traditionally used as a molluscicide to inhibit freshwater snail problem.,What is significant about the fruit of Dalbergia sissoo in traditional use?,7 Indian Rose Wood (Dalbergia sissoo)
930,"To the foothills of the Himalayas, ranging from Afghanistan to Bihar.",In which regions of India is Dalbergia sissoo believed to be native?,7.2 Distribution
931,Plantae,What is the kingdom classification for Dalbergia sissoo?,7.1 Plant systematics
932,Powdery mildew.,What disease does Phyllactinia dalbergiae cause?,"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants."
933,Shisham.,What plants are affected by Phyllosticta sissou?,"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants."
934,Fusarium oxysporum and Ganoderma lucidum.,Which fungi are primary causes of shisham mortality?,"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
935,"Termite attack, borers, defoliators, and hoppers.",What are the secondary factors causing shisham mortality?,"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
936,Rotted trees.,What trees are prone to fall during windy rains due to root rot?,"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains."
937,Shisham mortality.,What is the significant observation made from 1995 to 2005 for shisham?,Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.
938,Rajesh Srivastava.,Who provided the photos of Shisham seedlings in the seed bed and Healthy foliage?,Shisham seedlings in the seed bed (Pc: Rajesh Srivastava) Healthy foliage
939,The foliage of a few mature plants.,What does black leaf spot disease caused by Phyllachlora dalbergiae affect?,"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants."
940,Death of the whole plant.,What does root rot caused by Phellinus gilvus result in?,"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains."
941,"Research efforts focusing on fungi Fusarium oxysporum and Ganoderma lucidum, and secondary factors like termite attack.",What significant research efforts were made to understand shisham mortality?,"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
942,1995 to 2005.,Since when has shisham mortality been a complex problem?,Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.
943,"Termite attack, borers, defoliators, and hoppers.",What type of pests are the secondary causes of shisham mortality?,"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
944,"Fusarium oxysporum, Ganoderma lucidum; termite attack, borers, defoliators, and hoppers.",What are the major pathological problems affecting shisham?,"7.4 Major pathological problems in shisham 7.4.1 Shisham mortality (Fusarium oxysporum and Ganoderma lucidum; termite attack, borers, defoliators and hoppers)."
945,Monoculture plots of Dalbergia spp.,What is one of the causes of shisham mortality in monoculture plots?,Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.
946,"Termite attack, borers, defoliators, and hoppers.",What are the pests commonly attacking shisham and contributing to its mortality?,"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
947,Ganoderma lucidum.,What pathogen causes root or trunk rot in shisham?,"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains."
948,"Phellinus gilvus causes root/butt rot leading to whole plant death, making rotted trees prone to fall.",How does Phellinus gilvus affect shisham trees during windy rains?,"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains."
949,Phoma nivea or Hypoxylon investians.,What fungus causes canker in shisham plants?,"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants."
950,"Fusarium oxysporum, Ganoderma lucidum, termite attack, borers, defoliators, hoppers.",Which specific problems are mentioned as major pathological issues for shisham?,"7.4 Major pathological problems in shisham 7.4.1 Shisham mortality (Fusarium oxysporum and Ganoderma lucidum; termite attack, borers, defoliators and hoppers)."
951,Powdery mildew (Phyllactinia dalbergiae) commonly affects the foliage of shisham plants by causing fungal infections.,How does powdery mildew affect shisham plants?,"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants."
952,"Defoliation, slow drying of leaves and branches, presence of mycelium fruiting bodies, stem splitting, bark shredding, secondary infection signs, die back within 3 to 4 years.",What are the symptoms that indicate tree dieback?,"Symptoms:
• Defoliation of entire tree and/or the tree is left with leafless branches
• Slow drying of leaves, branches and whole tree with die back symptoms
• Presence of fruiting bodies of mycelium at the tree base
• Stem splitting and bark shredding with gummy black secretion under bark
• Signs of secondary infection such as termite and borer attack
• Die back of standing (normally within 3 to 4 years of infection)"
953,Termite and borer attack.,What is a sign of secondary infection?,"Symptoms:
• Signs of secondary infection such as termite and borer attack"
954,Sandy soils/light textures soils.,What is the recommended soil type for planting?,"Management:
• Sandy soils/light textures soils are preferable for planting with good drainage"
955,Waterlogging.,What should be avoided near the tree base?,"Management:
• Avoid waterlogging near the tree base
• Avoid wounds and cuts to the roots/stem"
956,Once in a month for 3 months.,How often should the tridemorph 75% EC root feed be applied?,"Management:
• Root feed with tridemorph 75% EC 2ml in 100ml water once in a month for 3 months"
957,10% Bordeaux paste (1kg lime+1 kg CuSO₄+10 litres of water).,What is the proportion of Bordeaux paste for cut surfaces?,"Management:
• Application of 10% Bordeaux paste to the cut surfaces (1kg lime+1 kg CuSO₄+10 litres of water)"
958,Phoma nivea; Hypoxylon investiens.,What pathogen is associated with stem canker?,7.4.2 Stem canker (Phoma nivea; Hypoxylon investiens)
959,Branch cankers and stem pitting are visible symptoms of stem canker.,Describe the visual symptoms of stem canker.,7.4.2 Stem canker (Phoma nivea; Hypoxylon investiens)
960,Applying lime paste to the tree base prevents termite and pathogen entry.,What management practice helps prevent termite and other pathogen entry?,"Management:
• Application of lime paste to the tree base to prevent entry of termites and other secondary insects/pathogens"
961,It indicates a potential fungal infection at the tree base.,What does the presence of fruiting bodies of mycelium at the tree base indicate?,"Symptoms:
• Presence of fruiting bodies of mycelium at the tree base"
962,The tree is left with leafless branches after defoliation.,What is the effect of defoliation on the tree?,"Symptoms:
• Defoliation of entire tree and/or the tree is left with leafless branches"
963,Wounds and cuts to the roots and stem should be avoided.,How should wounds and cuts to the tree be managed?,"Management:
• Avoid wounds and cuts to the roots/stem"
964,Resistant germplasm.,What kind of germplasm should be used for large scale plantations?,"Management:
• Use of resistant germplasm for large scale plantations"
965,It indicates die back symptoms.,"What does slow drying of leaves, branches, and whole tree indicate?","Symptoms:
• Slow drying of leaves, branches and whole tree with die back symptoms"
966,Once a month for 3 months.,How often should the tree roots be fed with tridemorph 75% EC?,"Management:
• Root feed with tridemorph 75% EC 2ml in 100ml water once in a month for 3 months"
967,To seal and protect cut surfaces from infections.,What is the purpose of applying Bordeaux paste to cut surfaces?,"Management:
• Application of 10% Bordeaux paste to the cut surfaces (1kg lime+1 kg CuSO₄+10 litres of water)"
968,Termite and borer attack.,What are the main symptoms of secondary infection in trees?,"Symptoms:
• Signs of secondary infection such as termite and borer attack"
969,It indicates fungal presence or infection at the tree base.,What is the indication of the presence of fruiting bodies of mycelium at the tree base?,"Symptoms:
• Presence of fruiting bodies of mycelium at the tree base"
970,Avoid waterlogging near the tree base to prevent root damage.,What are the recommended measures for water management around tree bases?,"Management:
• Avoid waterlogging near the tree base"
971,Using resistant germplasm helps in reducing disease incidence and promotes healthy growth.,What are the benefits of using resistant germplasm for plantations?,"Management:
• Use of resistant germplasm for large scale plantations"
972,Branches break off leaving significant mark on main stem.,What symptom involves the branches breaking off?,Symptoms
973,Avoid wounding.,What is one method of managing the disease?,Management
974,Reddish black.,What color is the gummy exudation at the cankerous growth?,Symptoms
