ANSWER,QUESTION.question,QUESTION.paragraph
"Due to mismanagement, resulting in erosion, salinisation, acidification, contamination, and declining fertility",Why is the capacity of soil to sustain agricultural production affected today?,These problems have affected the capacity of soils all over the world to sustain agricultural production.
Incorporation of crop residues and amendments,What are the main uses of mouldboard ploughing?,"Mouldboard ploughing inverts soils, covering crop residues and weeds and exposing fresh soil at the surface."
Quicker than mouldboard; no plough pans; useful in very hard soils,What is one advantage of using a disc plough?,Disc ploughing is quicker than mouldboard ploughing and requires less power.
Poor burial of residues; very damaging to soil structure; high running cost; can chop and spread rhizome weeds,What disadvantage is associated with rotary cultivators?,Often very damaging to soil structure and requires high running costs.
Chisel plough,Which cultivation method retains soil profile?,Chisel ploughing involves tearing soils up at depth but retains the soil profile.
Power harrow,Which cultivation method is known for its rapid tilth production?,Power harrows are known for rapid tilth production by forcing seedbeds quickly.
It places aerobic organisms in anaerobic conditions and vice versa.,What is achieved by the inversion process during ploughing?,The inversion process places aerobic organisms in anaerobic conditions and vice versa.
"No, repeated ploughing can lead to compacted layers.",Is it necessary to repeatedly plough to the same depth?,"Repeated ploughing to the same depth can be detrimental, leading to soil compaction layers."
10-15cm,How deep should mouldboard ploughing ideally go?,Mouldboard ploughing should ideally not exceed 15 cm.
Secondary cultivations combining with drilling will minimize ground pressure.,What combines with drilling to minimize ground pressure and reduce soil structure damage?,A combination of primary and secondary cultivations is normally used to minimize ground pressure.
High horsepower requirements make them expensive to maintain.,Why might power harrows be considered expensive to maintain?,Power harrows require high horsepower and can be expensive to maintain.
Soil structure,What does spading machine cultivation not damage?,Spading machine cultivation does not damage the soil structure.
Retains soil profile,What is the main advantage of using a chisel plough?,The main advantage of using a chisel plough is that it retains the soil profile.
It disrupts soil life and can expose organic matter.,How does mouldboard ploughing affect organic matter?,Mouldboard ploughing can disrupt soil life and affect organic matter by exposing it.
"Soil microorganisms, fungi, and soil animals, especially earthworms.",What does inversion of the top 30cm of soil affect?,"Inversion of the top 30cm affects soil microorganisms, including fungi and soil animals like earthworms."
To outline main cultivation techniques with advantages and disadvantages.,What is the purpose of the table presented in the text?,The table outlines the main cultivation techniques with advantages and disadvantages.
To ensure adequate results at deeper depths of ploughing.,Why should one seek advice about the suitability of equipment for deeper depths of ploughing?,Specialist advice regarding equipment is important as some ploughs are designed to invert deeper soil depths.
It is used for shallow cultivation and secondary modifications.,How does the disc harrow differ from primary cultivation tools?,"Disc harrow is used for shallow cultivation and secondary modifications on ploughed ground, unlike primary tools."
Mouldboard ploughing inverts soil; chisel ploughing tears soil at depth.,Describe one major difference between mouldboard ploughing and chisel ploughing.,"Mouldboard ploughing inverts the soil, while chisel ploughing tears up soil at depth."
"It releases nitrogen, balancing benefits of cultivation and nitrogen designing.",Why might organic matter breakdown be significant in ploughing?,"Organic matter breakdown releases nitrogen, important for balancing benefits of cultivation and nitrogen designing rotations."
A combination of primary and secondary cultivations.,What should be achieved to minimize ground pressure while drilling?,Combination of primary and secondary cultivations should be achieved to minimize ground pressure.
Disc harrowing,What kind of ploughing is especially useful for heavy soils?,Disc harrowing is especially useful for breaking up heavy soils and covers large areas quickly.
Soil structure overworking and damage.,What may be the result of overusing power harrows or stone separators?,Overusing these tools can lead to soil structure overworking and damage.
It has low energy requirements.,For what reason is the spading machine not considered energy intensive?,"Spading machine has low energy requirements, especially useful on silts."
They can chop and spread rhizome weeds.,Why might rotary cultivators be considered less effective on wet soils?,"Rotary cultivators can chop and spread rhizome weeds, which are present in wet soils."
They help reduce organic matter breakdown and nitrogen loss.,Why is achieving good inversion and burial important in ploughing?,Good inversion and burial help to reduce organic matter breakdown and nitrogen loss.
To achieve the objectives of ploughing with less intensive methods.,What is the main goal of less intensive cultivation?,Research has shown that many of the objectives of ploughing can be achieved with less intensive cultivations.
Reduced tillage involves the use of tines or disks to a depth of 10cm or less.,What does reduced tillage mean in terms of soil disturbance?,"However, the challenges that may arise with reduced tillage."
Reduced tillage may cause problems in drought conditions.,What is one potential consequence of reduced tillage in drought conditions?,Reduced tillage involving the use of tines or disks to a depth of 10cm or less.
"Fungal and viral diseases of cereals, more slug damage, and more soil-borne pests.",What type of pests are more likely with reduced tillage?,"These include potentially increased weed burdens, increases in some diseases, such as fungal and viral diseases of cereals."
Less intensive tillage can be managed with adjustments to crop rotation instead of relying on herbicides.,What is the relationship between crop rotation and reduced tillage in organic farming?,"However, systems of reduced and, in particular, minimum tillage used in non-organic agriculture are reliant on herbicides to achieve good weed control and this may limit their suitability to organic systems."
"Autumn harvesting coincides with wetter periods, increasing the risk of soil damage.",Why might there be more potential for damage to soil in autumn harvested crops?,"For instance, there is more potential for damage to the top soil where late autumn harvested crops."
Subsoiling.,What cultivation practice can help reduce compaction and maintain soil structure?,"Subsoiling can produce better drainage, better root penetration."
Shallow ploughing at 10–15cm combined with deeper cultivations or chisel ploughing.,What is one of the methods used in organic agriculture to achieve lower soil horizons?,An alternative approach is to use shallow ploughing.
By limiting cultivation and optimizing timing to minimize disturbance.,How can mechanical weed control be optimized?,"Weed control can be highly damaging to soil microorganisms, particularly fungi."
"It produces better drainage, root penetration, and increases water availability.",How does subsoiling help with soil structure?,"Subsoiling can produce better drainage, better root penetration and, in some cases, increased water availability."
In soils moist enough to produce a general loosening rather than breaking large blocks.,In what situations is subsoiling most effective?,Subsoiling is most effective in soils moist enough to produce a general loosening.
Using subsoiling to break up blocks and improve drainage.,What should be considered where soil horizons or water drainage problems exist?,Where field is managed using subsoiling at the angle to the ploughing.
Non-calcareous loams and sandy loams.,Which soil types need very minimal cultivation?,Non-calcareous loams and sandy loams are less robust.
Avoid early incorporation in June-August and delay incorporation as late as possible.,What should be avoided to minimize soil structure damage?,"Where fields are adjacent to watercourses, autumn incorporation."
Crop rotation helps manage the challenges of reduced tillage without relying on herbicides.,What role does crop rotation play in the context of reduced tillage?,Research has shown that many of the objectives of ploughing can be achieved with less intensive cultivations.
By using methods like a tractor-pulled hoe or mechanical cultivators.,How can topsoil be protected during mechanical weed control?,Using a tractor-pulled hoe or mechanical cultivators.
Incorporation should occur in early spring to avoid nitrogen loss.,What should be done to avoid nitrogen loss in autumn?,Incorporation of ley in the autumn when drainage conditions are good.
"It increases the potential for nitrate leaching, contributing to watercourse damage.",What is the significance of organic material release from ley?,But increase the potential for nitrate leaching because a major part of the nitrate is released.
To limit cultivations as much as possible by optimizing timing.,What is the main purpose of mechanical weed control?,Mechanical weed control can be highly damaging to soil microorganisms.
"By avoiding techniques that disturb the top soil, like heavy machinery.",How does one avoid compacting soil during weed control?,"Weed control techniques, such as flaming, hand pulling or using a tractor."
Because it can increase the risk of nitrate leaching.,Why is early soil incorporation discouraged?,"Avoid early ley incorporation in June-August, for example."
Shallow ploughing at 10–15cm.,What alternative to ploughing is sometimes used in organic farming?,"In organic agriculture, an alternative approach is to use shallow ploughing."
A period of bare soil should be established to enhance soil structure and reduce compaction.,What needs to be established before soil incorporation of ley?,Ensure the period of bare soil before establishing the next crop.
Less intensive cultivation.,What management practice can minimize soil compaction?,It can also contribute to soil nitrogen leaching.
These soils can often be minimally cultivated with no need to plough.,Why is reduced tillage suitable in some soil types?,"Reduced and minimum cultivation result in more compaction, particularly near the surface, and."
Reduced soil temperatures reduce microbial activity.,What is the effect of soil temperature on microbial activity?,Soil temperature reduce microbial activity.
The risk of leaching is increased when mineralisation is stimulated by cultivation in autumn.,When is the risk of leaching increased?,"Note, however, that there is increased risk of leaching when mineralisation is stimulated by cultivation in the following autumn."
Soils should be consolidated as soon as possible after cultivation.,What should be done as soon as possible after cultivation?,"Consolidate soils as soon as possible after cultivation, for example with a plough press."
Subsoilers or similar equipment should be used below the plough layer to deal with compaction.,What kind of plough should be used to deal with compaction?,Subsoilers or similar equipment at a depth below the plough layer.
"Mechanical methods can be combined with green manures, mixed with the top 10-15 cm of soil.",What methods can be used to combine mechanical means to deal with compaction?,"Mechanical means should be combined with green manures, where possible; the green manure should then be mixed in with the top 10–15 cm of the soil."
Growing green manures and incorporating crop residues can increase soil organic matter.,What should be done to increase soil organic matter?,Grow green manures and incorporate crop residues to increase soil organic matter.
Pasture hedgerows and fields show the greatest organic matter degradation when grazed.,What type of fields show the greatest organic matter degradation?,"In pasture, hedgerows, and fields that show evidence of organic matter degradation are degraded when grazed."
Ensuring good soil drainage can help reduce drainage issues in dry soils.,What can reduce drainage in dry soils?,Ensure good soil drainage.
Mouldboard ploughing is preferred for vegetables grown in silt soil.,What type of ploughing is preferred for vegetables grown in silt soil?,"Mouldboard ploughing is preferred, especially in vegetable growing areas where more than one crop a year is grown and trash must be incorporated quickly."
Reduced tillage is particularly suitable when lime is present in heavy soil to avoid compaction.,Why is reduced tillage particularly suitable when lime is present in heavy soil?,"Where lime is present in heavy loan, reduced cultivation is suitable."
Soil consolidation in sand soil should be achieved by ploughing followed by seedbed consolidation using a furrow press.,How should soil consolidation be achieved in sand soil?,Ploughing followed by seedbed consolidation with furrow press is preferred.
Excessive cultivations in spring should be avoided to prevent clay soils from drying out surface layers.,What should be avoided to prevent clay soils from drying out surface layers?,"Avoid excessive cultivations in spring as this can dry out surface layers, leaving soil vulnerable to wind erosion."
Ground pressure from machinery should be minimised to reduce compaction in sand soil.,What should be done to minimise ground pressure in sand soil?,Minimise ground pressure from machinery to reduce compaction.
"In fields in the UK, anaerobic soil degradation is delayed by cultivation of deep rooting green manures.",In which type of fields is anaerobic soil degradation delayed?,"In the UK, cultivation of deep rooting green manures can assist."
Optimising major and trace mineral status is key to ensuring rapid crop development.,What is a key factor in ensuring the rapid crop development?,Optimise major and trace mineral status to ensure rapid crop development.
"Some mechanical means for dealing with soil compaction include subsoilers, green manures, and combining shallow turning with deeper soil loosening.",What are some mechanical means for dealing with soil compaction?,Compaction treatment options...subsoilers...green manure...shallow turning combined with deeper loosening of soil.
Subsiding or loosening of soil for a silt loam is recommended on a regular basis.,How frequently is subsiding or loosening of soil recommended for a silt loam?,Use deep tines or subsoiling on a regular basis to loosen plough pans and deep compaction.
Clay soils are the mainsoil type that can cause major problems in a silt loam.,What are the main soil types causing major issues in silt loam?,The major soil textural class and the most appropriate cultivation techniques are outlined as follows.
"Compacted soil experiences poor crop drying, increased root disease from machinery, animals, and other factors.",What are the factors involved in the degradation of drainage when soil is compacted?,This in turn reduces the drying effect of the crop on the soil...
Using tines in silt soil helps reduce compaction and deep loosing.,What are the effects of using tines in silt soil?,Use deep tines...to reduce compaction. Use deep loosening.
Deep ploughing shallow peat helps incorporate silts or clays below the peat.,What practices help incorporate silts or clays below peat?,Deep ploughing shallow peat can incorporate silts or clays from below the peat.
The principle involves combining shallow turning with deeper soil loosening.,What is the principle of using shallow turning to deal with soil compaction?,The principle of shallow turning combined with deeper loosening of the soil is important.
Bed systems are preferred for preventing widespread compaction in silt.,What systems are preferred to prevent widespread compaction in silt?,Bed systems for vegetables are useful to prevent widespread compaction.
"Compaction leading to anaerobic soil degradation causes water logging, yellow motling, and drainage failure in fields.",What issues arise from compaction leading to anaerobic soil degradation?,...field showing range/yellow motiling...fails to flow after rain.
Spring cropping in clay soil should be achieved with one pass to ensure proper consolidation.,How do you ensure spring cropping in clay soil?,Spring cropping can be difficult and seedbeds should be achieved with one pass if possible.
"Establishing semi-natural habitats, such as extensive pasture or hay meadows.",What is an alternative use for low-lying and difficult to drain areas?,"However, in fields or parts of fields that are low-lying and notoriously difficult to drain even with a working system, it may not be worth renewing drainage systems. An alternative use of such areas is to establish semi-natural habitats, such as extensive pasture or hay meadows, which is often rewarded under agri-environment schemes."
Tile drains,What are mole drains used in combination with?,"Mole drains, where used in combination with tile drains or used alone, need renewing at regular intervals."
Every five years,How often do mole drains need renewing on weaker clays and silt?,This can be as short as five years on weaker clays and silt.
Renewal time period is reduced.,What happens when there are sand pockets in the subsoil concerning mole drains?,Where there are sand pockets in the subsoil this time period will be reduced.
Spring (May or June),When is the best time for mole draining to ensure the soil is dry enough?,Usually this is in the spring (May or June) though moling in the autumn may also be possible.
Soil must be wet enough for a good clean channel but not too wet.,What needs to be done for mole drains to be effective?,"For moling to be most effective, the soil needs to be wet enough to form a good clean channel but not so wet as to collapse."
Constant maintenance,What maintenance is required when a drainage system is installed?,Where a drainage system is installed it requires constant maintenance to remain effective.
Regularly,How often should drainage ditches be cleared?,"Although drainage ditches should be cleared regularly, management planning should also consider the conservation aspects of organic standards."
Clearing drainage ditches regularly is important for considering the conservation aspects of organic standards.,What is the importance of clearing drainage ditches regularly in organic farming?,Management planning should also consider the conservation aspects of organic standards.
No more than once in three years,How often should ditch side vegetation be cut to improve habitat value?,Clearing on a rotational basis and cutting of ditch side vegetation no more than once in three years improves the habitat value of ditches.
Subsoiling with field drains,What alternative option can be used along with mole drains for soil drainage?,Subsoiling in combination with field drains is an alternative option to mole draining.
"Dry enough to fracture, ensuring moles are effective.",What does the soil above the moles need to be dry enough for?,The soil above the moles also needs to be dry enough to fracture if the moles are to be effective.
Establishing semi-natural habitats like extensive pasture or hay meadows.,What alternative to establishing semi-natural habitats can be used in low-lying fields?,"It may not be worth renewing drainage systems. An alternative use of such areas is to establish semi-natural habitats, such as extensive pasture or hay meadows."
Agri-environment scheme rewards,What reward can be obtained by establishing semi-natural habitats?,"Such as extensive pasture or hay meadows, which is often rewarded under agri-environment schemes."
Conservation aspects of organic standards.,What should be considered besides regular clearing in the management of drainage ditches?,Management planning should also consider the conservation aspects of organic standards.
Air and drainage channels,What does the soil provide for air and water drainage?,Roots providing air and drainage channels in the soil.
Extensive pasture or hay meadows,What type of fields are often rewarded under agri-environment schemes?,"Such as extensive pasture or hay meadows, which is often rewarded under agri-environment schemes."
It improves the habitat value of ditches.,How does clearing ditch side vegetation help?,Clearing on a rotational basis and cutting of ditch side vegetation no more than once in three years improves the habitat value of ditches.
Ensuring the soil is wet enough but not too wet to form a clean channel without collapse.,What process is needed when using mole drains to ensure soil doesn’t collapse?,"For moling to be most effective, the soil needs to be wet enough to form a good clean channel but not so wet as to collapse."
Renewal time of up to 12 years.,What is a key factor in the effectiveness of mole drains on oakeaceous clays?,It may be as long as 12 years on oakeaceous clays.
Autumn,Which season besides spring can moling be done for it to be effective?,Usually this is in the spring (May or June) though moling in the autumn may also be possible.
Dry enough to fracture,What needs to be ensured about the soil above moles for their effectiveness?,The soil above the moles also needs to be dry enough to fracture if the moles are to be effective.
Conservation aspects of organic standards.,"What should management planning consider, besides clearing drainage ditches?",Management planning should also consider the conservation aspects of organic standards.
No more than once in three years,How often should ditch side vegetation be cut to improve habitat value?,Clearing on a rotational basis and cutting of ditch side vegetation no more than once in three years improves the habitat value of ditches.
Air and drainage channels,What types of channels are created in the soil by roots?,Roots providing air and drainage channels in the soil.
Soil management focuses on the entire farm and the full production cycle.,What is the focus of soil management?,Soil management is a whole farm concept and consideration needs to be given to all farm activities on the land throughout the full production cycle.
Protecting soil fertility is essential as it impacts all farm activities and their sustainability.,Why is protecting soil fertility the main problem in farming systems?,"The main problem areas concern protecting soil fertility (see section 6, ‘Protecting soil fertility’)."
Situations where options or timings are severely restricted should be avoided.,What should be avoided in farming systems according to the text?,Avoid getting into situations where options or timings are severely restricted.
Carefully considering and planning options is vital when addressing specific potential problem areas in farming systems.,What is a key consideration when looking at specific potential problem areas for different farming systems?,When looking at specific potential problem areas for different farming systems it is vital that options are carefully considered and planned.
Stock based systems are compared to cultivation systems.,What type of systems is stock based systems compared to in the text?,"As cultivation in stock based systems is relatively infrequent, and crop cover is almost continuous, there tends to be more flexibility in timing cultivations."
A positive nutrient balance usually balances nutrient levels in stock based systems.,What characteristic balances nutrient levels in stock based systems?,"The nutrient balance is usually positive in these systems, although an excess of nitrogen is likely."
A late summer reseed can minimize the risk of nutrient leaching or soil erosion.,How can the risk of nutrient leaching or soil erosion be minimized when performing reseeding?,"To minimise this risk, a late summer reseed is preferable to the spring or autumn as rainfall – and therefore leaching or run-off – is likely to be at its lowest."
"It prevents the increase of ley pests, such as frit fly and leatherjackets.",Why is a suitable period of about 4–6 weeks without a host for ley pests required for reseeding?,"This could present a risk for nutrient leaching or soil erosion. To minimise this risk, a late summer reseed is preferable"
At least four weeks before the maize is sown.,When should the grass be ploughed if there is a high risk of frit damage?,If there is a high risk of frit damage then the grass should be ploughed at least four weeks before the maize is sown.
Give careful considerations to stocking density and rotate grazing areas.,What is the basic action to prevent poaching?,Basic action • Give careful considerations to stocking density • Rotate grazing areas
"Poaching frequently impacts the fields by creating damage at gateways, tracks, and paths.",How does poaching frequently impact the fields?,"Poaching is most frequently caused by cattle at gateways, tracks, and paths."
"Stock based systems usually maintain a positive nutrient balance, though an excess of nitrogen can be likely.",How do stock based systems manage nutrient balance?,"The nutrient balance is usually positive in these systems, although an excess of nitrogen is likely."
Timing flexibility.,What is the main consideration when planning stock based systems cultivation?,"As cultivation in stock based systems is relatively infrequent, and crop cover is almost continuous, there tends to be more flexibility in timing cultivations."
Creating a balance between growing more crops and managing stock for different periods.,What is a critical factor to consider while making cultivation plans for stock based systems?,"When making cultivation plans, it is essential to consider creating a balance between growing more crops for sale and exporting manures or some grazing stock for periods of the year."
High rainfall areas can pose problems by leading to heavy soil and sloping ground.,Why is high rainfall areas a concern for stock based systems?,These characteristics can create potential problems when considering cultivations.
Use a coarse ring press to consolidate soil and leave a rough finish less likely to blow.,What are the cultivation recommendations to consolidate soil in case of a high risk of erosion?,If the soil type and site are at risk then use a coarse ring press.
Consider ploughing the sward in mid-summer.,What should be done before whole crop stages for grains to reduce soil erosion risk?,"As an entry for winter wheat as whole crop silage or for grain and straw production, the sward could be ploughed in mid-summer."
"To ensure the new seeds integrate well into the soil, simultaneous pressing or rolling is recommended.",Why should cultivated ground in late summer ensure good integration of new seeds?,"This will help to ensure good take of new seeds, pressing or rolling should take place simultaneously with each cultivation or immediately after."
Rotating grazing areas helps manage stocking density and prevent poaching.,Why is it important to rotate grazing areas according to the text?,Basic action • Give careful considerations to stocking density • Rotate grazing areas
Provide tracks and paths to minimize soil damage and avoid heavy traffic on fields.,How should fields with poaching be managed in high wet weather periods?,Provide tracks and paths to avoid heavy traffic on fields.
"Carefully plan to prevent invasive weeds, soil erosion, and structural damage.",What should be considered to prevent damage when site and stock densities are high?,These characteristics can create potential problems when considering cultivations.
Outdoor pigs can cause erosion and lead to the creation of bare patches in fields.,"What can outdoor pigs potentially cause, requiring planned grazing methods?",Outdoor pigs could lead to severe damage on the field with extended periods of wet weather.
Clay or organic matter in the soil structure leads to semi-permanent wet areas after poaching damage.,What leads to the creation of semi-permanent wet areas when poaching damages the soil?,"The presence of clay or organic matter in the soil structure cannot penetrate the poached layer, resulting in issues like semi-permanent wet areas."
Lead animals to wallow areas; carefully manage high-risk areas to prevent widespread damage.,How can erosion and damage be managed in high-risk fields?,Consider holding and leading areas to wallow for welfare reasons.
Mixed systems,What type of system is described in section 7.2?,7.2 Mixed Systems
"Chicory, forage rape, stubble turnips",Which crops are suitable for light land sites in mixed systems?,"In this system grass/clover leys often precede winter cereals. Therefore, utilising the ley in the first half of the summer before replacing it with a summer forage crop is well suited to this system. Crops such as chicory, with its good drought resistance for light land sites, and forage rape or stubble turnips to be grazed off ahead of sowing the winter cereal, are good options."
Continuous green cover,What is the key advantage of using grass/clover leys in mixed systems?,"This approach has a number of benefits. Firstly, it ensures almost continuous green cover to minimise the risks of nutrient loss and erosion."
First half of the summer,When is the ley typically used in mixed systems before it is replaced?,"In this system grass/clover leys often precede winter cereals. Therefore, utilising the ley in the first half of the summer before replacing it with a summer forage crop is well suited to this system."
Reduces ley pests,How can mixed systems help in pest reduction?,"Secondly, it provides a suitable gap to reduce ley pests."
"Grass/clover ley, stubble turnips",What crops are recommended for year two in the exemplary rotation of mixed systems?,"Exemplary rotation Years one, two and three: grass/clover ley (note that the ley could be ploughed in the summer, followed by a crop of stubble turnips before wheat in the autumn."
Mulch as green manure,What options are there for feeding a winter cover forage crop?,Be aware of over-committing to the use of winter forage if the soil is at risk from poaching. It is better to mulch the crop as a green manure than damage the soil by feeding it.
Risk of poaching,Why might winter forage be restricted in some areas?,Be aware of over-committing to the use of winter forage if the soil is at risk from poaching.
Winter beans,"On medium/heavy land, what could follow a pulse crop in mixed systems?","On medium/heavy land, winter beans would be a suitable pulse while wintered rye followed by peas or spring beans would be most appropriate for medium/light land."
Chicory,What is a winter forage crop mentioned in the text?,"Winter cover forage crop should be sown after the wheat is harvested, before the following spring cereal. Chicory could be used on light soils, with either forage rape or stubble turnips on other soils."
"Minimizes soil damage, utilizes nutrients",What are the benefits of applying manure in late summer on mixed systems?,"It provides an opportunity to apply stored manures and slurries before ploughing in the grass at a time of year when the soil conditions will allow heavy machinery with minimum damage, and the cover crop will quickly establish to utilise incorporated nutrients."
Cultivation reduces perennial weeds,How does mixed systems approach minimize nuisance perennial weeds?,"Finally, it provides an opportunity to apply stored manures and slurries before ploughing in the grass at a time of year when the soil conditions will allow heavy machinery with minimum damage, and the cover crop will quickly establish to utilise incorporated nutrients. These cultivation opportunities can also help reduce troublesome perennial weeds that may develop during the grass/clover part of the rotation."
Mulching,What operations are often paired with winter forage cropping to avoid poaching?,Be aware of over-committing to the use of winter forage if the soil is at risk from poaching. It is better to mulch the crop as a green manure than damage the soil by feeding it.
Varies with site and season,What type of land is forage maize stated to be suitable for?,This will vary with site and season.
Different considerations,What compositional feature of root crops should be considered when planning soil management?,"Spring sown root forage crops, such as fodder beet and swedes, have different considerations."
Mid to late spring,What season is typically associated with the peak establishment of spring sown root crops like forage crops?,"Forage crops Spring sown root forage crops, such as fodder beet and swedes, have different considerations. They are generally sown mid to late spring in April and sometimes early May. As they are traditionally sown in rows, mechanical weeding is widely practised."
Mechanical weeding,What is required for forage crops traditionally sown in rows?,"Forage crops Spring sown root forage crops, such as fodder beet and swedes, have different considerations. They are generally sown mid to late spring in April and sometimes early May. As they are traditionally sown in rows, mechanical weeding is widely practised."
"Soil erosion, crop damage","What soil risks are associated with heavy rainfall in spring, impacting forage cropping?",In particular on light soil sites there can be a risk of soil erosion and crop damage.
Up to four years,How long can summer or early autumn grown forage crops be left down for?,"They can also be managed in a mixed mode to both soil and the environment. For example, chicory and clover crops can be sown at any time during spring, summer or early autumn and left in situ within 8–12 weeks, or wintered in suitable areas."
"Continuous green cover, pest reduction, late summer forage, manure application, nutrient utilization",What are the objectives of using grass/clover ley before replacing it with a forage crop in mixed systems?,"This approach has a number of benefits. Firstly, it ensures almost continuous green cover to minimise the risks of nutrient loss and erosion. Secondly, it provides a suitable gap to reduce ley pests. Thirdly, it offers an alternative forage source in late summer when grass can be less plentiful and of lower quality. Finally, it provides an opportunity to apply stored manures and slurries before ploughing in the grass at a time of year when the soil conditions will allow heavy machinery with minimum damage, and the cover crop will quickly establish to utilise incorporated nutrients. These cultivation opportunities can also help reduce troublesome perennial weeds that may develop during the grass/clover part of the rotation."
"Medium/heavy land, winter beans; Medium/light land, wintered rye followed by peas or spring beans",What are the typical soil conditions considered for re-seeding in mixed systems?,"Depending on the requirement for forage, either go back into grass/clover ley in year six or, if more arable is required, sow a pulse crop followed by another cereal prior to reseeding in year seven/eight. On medium/heavy land, winter beans would be a suitable pulse while wintered rye followed by peas or spring beans would be most appropriate for medium/light land."
Alternate root crops with green manures,What is a major benefit of using mixed systems for stockless systems?,"Since the need for cultivation is greatest in these systems due to a greater proportion of annual cropping, this will allow the opportunity to alternate root crops with green manures to break pest cycles and build fertility."
When soil conditions are suitable,"What is the period mentioned for harvesting forage crops, considering soil and weather conditions?",Its harvesting at this time of year can risk leaving the soil in a fragile condition and is also unsuited to heavy rainfall and can result in nutrient erosion. Harvesting should therefore take place when the soil conditions are suitable and the risk of damage to the soil is low.
Mechanical weeding,How is weed management typically performed in spring sown root crops within forage crops?,"They are traditionally sown in rows, mechanical weeding is widely practised."
Import manure and compost.,What is one important priority for managers of stockless systems?,"Depletion of soil phosphate and potash reserves is possible on certain soils, particularly light textured soils low in organic matter."
Light to medium soils.,What type of soil is especially important for root cropping?,Light to medium soils with root cropping.
1–1.5m or more.,At what height do active roots of most crop varieties usually penetrate?,"Potatoes have a reputation of being prone to nutrient leaching, but in well structured soils where the crop is not drought stressed..."
Beet harvesting.,What should be delayed if soil conditions improve?,"If harvested in the first part of the campaign, a winter cover crop may be sown in October or November. If conditions are poor, and if possible..."
Spring barley.,What is a suitable early new harvestable crop during the fifth year in the light to medium soils rotation?,Exemplary rotation: Year five: spring barley undersown with ley.
Winter wheat.,What is the suggested crop following potatoes in the light to medium soil rotation?,Exemplary rotation: Year three: winter wheat.
Reduce risk of ley pests.,What is required when planning rotations on heavy soils to prevent nutrient loss or soil erosion?,Reduce the risk of ley pests invading and prevent nutrient loss.
Spring cereals.,What type of cereal should be delayed for up to one month after the harvest of ley?,Important as it stabilizes the sod to reduce ley pest invasion.
Most demanding.,How is nutrient management described in stockless systems?,Nutrient management is also most demanding since without livestock enterprises the recycling of nutrients...
Reduced herbicide effectiveness.,What is the main effect on seeds when minimal tillage is used for blackgrass control?,The significant reduction in the tillage can significantly decrease the effectiveness of the herbicide.
Early pea harvest.,What process is advised for early new harvestable crops like peas or beans?,Year four: spring peas or beans. An early pea harvest may allow time for mustard green manure.
Deep for potatoes.,How deep should cultivation be for root crops in the proposed cropping process?,"Proposed cropping requires a range of plough and cultivation depths, from deep for potatoes."
Reduced harvest losses.,What is the impact of maintaining continuous late autumn sowing?,"Maintaining a main crop variety, usually late September or early October..."
Green manures.,What type of materials are suggested for the mulch?,"Mulch and incorporate green manures and cover crops, using a plough and press-based system."
Spring.,What is the recommended season for a new harvestable crop if potatoes are the last crop?,Spring.
Year two.,Which year in the heavy soils rotation is designated for a green manure frost-tolerant wheat crop?,Year two: potatoes / frost-tolerant wheat.
Protects soil structure.,What is the effect of a winter oat cover in the rotation for medium-heavy soils?,The incorporation of a winter cover crop like oats will protect soil structure and conserve soil nutrients.
Cereals.,What crops can be grown without use of the plough?,It may be possible to establish cereals following potatoes and pulses without the use of the plough.
Disc and pack.,What is a core method proposed for targeted control of weeds in minimal tillage systems?,Disc and pack to incorporate mature oats and/or oil radish vegetative material.
Use well-structured soil and avoid drought stress.,How can one maintain fertility and reduce the risk of nutrient leaching when growing potatoes?,"Mulch Green Manure and cover crops, minimize harvesting losses."
"Light, Medium.",What two soil types should the light to medium soil rotation support to maintain suitability?,Avoiding root crops and stockless rotations on light land...
Nutrient retention.,What is an important consideration when growing a summer green manure crop ahead of autumn cereal?,It should be planned to prevent nutrient losses before sowing an early autumn cereal.
To ensure soil suitability.,Why should the timing of beet harvesting be planned in mixed conditions?,Ensures soil conditions are up to standard to avoid losses.
Winter wheat.,"In the sixth year of a light to medium soil rotation, which crop is used to improve nutrient recycling?","Exemplary rotation: Year six: winter wheat, followed by a green manure rotation."
Six to eight weeks.,How long after drilling should autumn secondary cultivation aim to be completed?,Six to eight weeks.
Good soil management,What is the key to plant and livestock nutrition in organic farming?,Good soil management is the key to plant and livestock nutrition in organic farming.
Appropriate soil management,What is starting to receive greater recognition and attention?,Appropriate soil management to our environment is starting to receive greater recognition and attention.
Importance of good soil management,What is this technical guide designed to highlight?,This guide is designed to highlight the importance of good soil management.
Soil management,What will this guide provide advice on?,This technical guide provides advice on soil management in relation to both long-term land management and day to day decision making.
Efficient and sensitive land management,What will this guide help achieve?,The information in this guide will help achieve efficient and sensitive land management on organic farms.
Organic techniques,What is the focus of the guide aimed at organic farmers?,"This guide is aimed at organic farmers, farmers in conversion and farmers interested in organic techniques."
Those supporting the organic sector,Who will also find value in this guide?,"The guide will also be of value to those supporting the organic sector with advice and information, as well as policy makers."
How to maintain and improve soil health and fertility,What practical information does the guide provide?,It also provides practical information on how to maintain and improve soil health and fertility.
