ANSWER,QUESTION.question,QUESTION.paragraph
Anopheline mosquitoes,What organisms primarily spread the disease malaria?,"Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide."
Malaria,What is a major threat to human health worldwide?,"Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide."
Sweet wormwood plant,Which natural source is a base material for artemisinin?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua."
Artemisia annua,Artemisinin is derived from which plant?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua."
Chloroquine,Resistance to which malaria drug has been reported?,"However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
Resistance,What is a concern regarding the use of artemisinin for malaria?,"However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
By Anopheline mosquitoes,How is malaria primarily spread?,"Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide."
Sweet wormwood plant (Artemisia annua),What plant is the natural source for the antimalarial drug artemisinin?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua. Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide."
"Artemisinin is extracted from the sweet wormwood plant, Artemisia annua.",From which plant is artemisinin extracted?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua."
"Resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas.",What has been observed regarding malaria drugs like chloroquine and mefloquine?,"However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
"Malaria is one of the most serious human health threats worldwide, spread by Anopheline mosquitoes.",What is one of the primary human health threats posed by mosquito-borne diseases?,"Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide."
"Artemisinin is a current antimalarial treatment, but resistance to older drugs like chloroquine and mefloquine has been reported.",What is the current status of artemisinin in malaria treatment?,"However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
The source plant of artemisinin is the sweet wormwood plant (Artemisia annua).,What is the source plant of the antimalarial drug artemisinin?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua."
"Malaria poses a serious threat to human health worldwide, being spread primarily by Anopheline mosquitoes.",Describe the major threat malaria poses to human health around the world.,"Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide."
"Artemisinin is used to treat malaria, derived from Artemisia annua. However, there is reported resistance to its predecessors like chloroquine.","What plant-based compound is used to treat malaria, and what issue is associated with its predecessors?","Artemisinin is derived from the sweet wormwood plant, Artemisia annua. However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
"While artemisinin is derived from sweet wormwood (Artemisia annua), resistance has been noted with predecessor drugs like chloroquine and mefloquine.",What is a significant concern in the treatment of malaria with artemisinin?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua. However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
"A challenge in malaria treatment is the resistance to predecessors of artemisinin, including chloroquine and mefloquine.",What is a challenge faced in malaria treatment despite the use of artemisinin?,"Artemisinin is derived from the sweet wormwood plant, Artemisia annua. However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
"Malaria, spread by Anopheline mosquitoes, seriously threatens health worldwide. Treatment faces challenges including resistance to drugs like chloroquine and mefloquine, predecessors of artemisinin.",Discuss how Anopheline mosquitoes relate to malaria and the treatment challenges involved.,"Malaria, spread by Anopheline mosquitoes, is one of the most serious human health threats worldwide. However, resistance to the predecessors of drugs such as chloroquine, mefloquine, and sulfadoxine-pyrimethamine has been reported in several areas."
Initial sanitation practices,What is crucial before nursery establishment?,"Management: 

 Initial sanitation practices before nursery establishment are crucial"
Stop sprinkler irrigation,What should be done if infection is noticed?,"Management: 

 If infection is noticed, stop sprinkler irrigation"
Planting material,What must be disease-free in plant management?,"Management: 

 Planting material must be disease-free"
Potting medium,What type of medium should be properly sun-dried?,"Management: 

 Potting medium should be properly sun-dried"
Root rot or butt rot,Name the disease mentioned in section 5.4.2.,"5.4.2 Root rot or butt rot (Rosellinia necatrix, Armillaria)"
Neem oil could be sprayed at 2ml/litre,What measure can be taken as a preventive measure in plant management?,"Management: 

 As a preventive measure, neem oil could be sprayed at 2ml/litre"
Thiophanate methyl @0.5g/litre,What is the recommended spray for severe cases mentioned in plant management?,"Management: 

 In severe cases, spray Thiophanate methyl @0.5g/litre at 10days interval twice"
Nursery establishment,What does the initial sanitation practice affect?,"Management: 

 Initial sanitation practices before nursery establishment are crucial"
To ensure proper growth and prevent diseases,Why is adequate irrigation and drainage important for nursery sites?,"Management: 

 Adequate irrigation and drainage at nursery site"
Below the section 5.4.2 on the page,Where can one find images related to root rot and butt rot diseases in plants?,"5.4.2 Root rot or butt rot (Rosellinia necatrix, Armillaria)"
"Healthy poplar tree, Leaf scorching, Armillaria rot, Heart rot",What are the images displayed in section 5.4.2?,"Images: Healthy poplar tree, Leaf scorching, Armillaria rot, Heart rot"
Reduction of leaf chlorophyll and overall photosynthetic ability,How does leaf scorching affect the plant?,All these result in the reduction of leaf chlorophyll and affect the overall photosynthetic ability of the plants
"Disease-free planting material, properly sun-dried potting medium, adequate irrigation and drainage",List some management practices mentioned that prevent diseases in plants.,"• Planting material must be disease-free
• Potting medium should be properly sun-dried
• Adequate irrigation and drainage at nursery site"
A type of root or butt rot disease in plants,What is Armillaria rot?,Images: Armillaria rot
"Reduces leaf chlorophyll, affects photosynthesis",What impact does leaf scorching have on a healthy poplar tree?,"Images: Healthy poplar tree, Leaf scorching"
Leaf scorching,What is one of the visible symptoms shown in the images related to root rot corresponding to section 5.4.2?,"Images: Leaf scorching, Armillaria rot"
Leaf scorching and root or butt rot diseases,What is the main cause of the reduction of leaf chlorophyll and the overall photosynthetic ability of the plants?,All these result in the reduction of leaf chlorophyll and affect the overall photosynthetic ability of the plants
Armillaria rot and Heart rot,Identify the type of rot disease displayed in the images under root rot or butt rot.,"Images: Armillaria rot, Heart rot"
Adequate irrigation with proper drainage,What should be the method of irrigation to follow as a management practice before nursery establishment?,"Management: 

 Adequate irrigation and drainage at nursery site"
Stop sprinkler irrigation immediately if infection noticed,Which preventive measure can be taken when noticing an infection in the nursery plant?,"Management: 

 If infection is noticed, stop sprinkler irrigation "
"Symptoms include bark scaling, discoloration, mycelium presence, fruiting bodies, leaf scorching, branch drying, and heartwood rotting.",What are the symptoms of canker on trees?,"Symptoms: Bark scaling, bark discoloration at the crown region Presence of strands of white mycelium under bark and around tree as long strands Presence of fruiting bodies or honey coloured mushroom like structures at the base of the tree Leaf scorching, branch drying initiation in single big branches Rotting of heart wood at the centre of timber cross section"
Xanthomonas populi,What is the main fungal cause of bacterial canker in trees?,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.) Bacterial canker (Xanthomonas populi)"
Early removal and disposal of dead trees.,Which method helps in the early removal of dead trees?,Early removal and disposal of dead trees
"Symptoms of bacterial canker include necrotic sunken spots, black water-soaked lesions, irregular broken stem areas, darkened inner bark, and stem pitting.",What are the symptoms of bacterial canker on trees?,Symptoms: Necrotic sunken spots on stem Black water-soaked sunken lesions in case of bacterial canker Irregular broken areas on stem with targeted ring like spots and swellings Darkened inner bark Stem pitting and splitting
Fungal: Hypoxylon spp. Bacterial: Xanthomonas populi,Name one fungal and one bacterial cause of canker in trees.,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.) Bacterial canker (Xanthomonas populi)"
"Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.",Which fungal species are responsible for causing canker in trees?,"5.4.3 Canker (Cytospora spp., Hypoxylon spp., Fusarium spp., Nectria spp.)"
Leaf scorching,What is a symptom of canker related to the leaves?,"Leaf scorching, branch drying initiation in single big branches"
A common symptom of bacterial canker on the stem is black water-soaked sunken lesions.,Describe a common symptom of bacterial canker specifically on the stem.,Black water-soaked sunken lesions in case of bacterial canker
Darkened inner bark,What is a key symptom observed in the inner bark in case of bacterial canker?,Darkened inner bark
Maintaining tree vigour by managing insect pests helps in preventing canker.,What management practice helps in preventing canker through pest control?,Maintain tree vigour by managing insect pests in the vicinity
Dead trees can harbor pathogens; early removal helps prevent canker spread.,How can dead trees affect the spread of canker?,Early removal and disposal of dead trees
Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg well-decomposed farmyard manure (FYM),"What is the agricultural treatment for preventing canker, including its specific dosage?",Soil application of Trichoderma harzianum 2.5 kg/ha with 50 kg well-decomposed farmyard manure (FYM)
Presence of strands of white mycelium,What indicates the presence of fungal infection under the bark?,Presence of strands of white mycelium under bark and around tree as long strands
Avoiding injuries helps prevent infection and diseases like canker.,Why is it essential to avoid injuries to the tree base/stem?,Avoid injuries to the tree base/roots/stem
Rotting of heartwood at the center of timber.,What symptom involves structural changes in the heartwood?,Rotting of heart wood at the centre of timber cross section
Black water-soaked sunken lesions,What type of lesions are a symptom specifically indicative of bacterial canker?,Black water-soaked sunken lesions in case of bacterial canker
Maintaining tree vigor helps reduce susceptibility to canker by managing pests.,What is the significance of maintaining tree vigor in canker management?,Maintain tree vigour by managing insect pests in the vicinity
Fungal canker manifests through leaf scorching and drying of single big branches.,How does fungal canker physically manifest on the branches?,"Leaf scorching, branch drying initiation in single big branches"
Fruiting bodies or honey-colored mushroom-like structures indicate fungal canker presence.,How are fruiting bodies related to diagnosing canker?,Presence of fruiting bodies or honey coloured mushroom like structures at the base of the tree
A symptom of bacterial canker includes irregular broken stem areas with ring-like spots.,Describe a symptom of bacterial canker related to the stem's exterior.,Irregular broken areas on stem with targeted ring like spots and swellings
Canker-resistant clones,What type of clones should be used for management?,Use of canker-resistant clones
Injuries to the tree stem,What should be avoided to prevent disease in trees?,Avoid injuries to the tree stem
Sterile knife,Which tool should be used for removal of infected portions?,Removal of the infected portion with sterile knife dipped in 70% alcohol
Bordeaux paste,What paste is applied to cut surface and wounds?,Application of Bordeaux paste (10%) on the cut surface and wounds
70% alcohol,In what percentage alcohol should the knife be dipped?,Removal of the infected portion with sterile knife dipped in 70% alcohol
Using canker-resistant clones,What is one method of managing canker in plants?,Use of canker-resistant clones
With a sterile knife dipped in 70% alcohol,How should the infected portion be removed for management?,Removal of the infected portion with sterile knife dipped in 70% alcohol
By applying Bordeaux paste (10%),How can the cut surface and wounds be treated in plant management?,Application of Bordeaux paste (10%) on the cut surface and wounds
To prevent infections and diseases in trees,Why is it important to avoid injuries to the tree stem?,Avoid injuries to the tree stem
10%,What concentration of Bordeaux paste is recommended for application on wounds?,Application of Bordeaux paste (10%) on the cut surface and wounds
"Use canker-resistant clones, avoid injuries to the tree stem, remove infected portions with sterile knife in 70% alcohol, apply 10% Bordeaux paste to cuts and wounds.",What are the specified management practices to address plant canker?,"Use of canker-resistant clones, Avoid injuries to the tree stem, Removal of the infected portion with sterile knife dipped in 70% alcohol, Application of Bordeaux paste (10%) on the cut surface and wounds"
Remove the infected portion using a sterile knife dipped in 70% alcohol.,Describe the process of removing infected tree portions?,Removal of the infected portion with sterile knife dipped in 70% alcohol
The concentration is 10% for the application on cut surfaces and wounds.,What is the Bordeaux paste concentration used on cut surfaces?,Application of Bordeaux paste (10%) on the cut surface and wounds
Using sterile tools helps prevent further infection and contamination.,What is the significance of using sterile tools in plant disease management?,Removal of the infected portion with sterile knife dipped in 70% alcohol
Applying Bordeaux paste (10%) on the cut surface and wounds prevents infections.,What management practice helps prevent infection at wound sites?,Application of Bordeaux paste (10%) on the cut surface and wounds
Wounds and cuts should be treated with a 10% Bordeaux paste to prevent infections.,How should wounds and cuts on tree stems be managed to prevent infections?,Application of Bordeaux paste (10%) on the cut surface and wounds
"Use of canker-resistant clones, avoiding injuries to the tree stem, removing infected portions with sterile knife in 70% alcohol, and applying 10% Bordeaux paste.",What procedures are included to manage canker in trees?,"Use of canker-resistant clones, Avoid injuries to the tree stem, Removal of the infected portion with sterile knife dipped in 70% alcohol, Application of Bordeaux paste (10%) on the cut surface and wounds"
Use a sterile knife dipped in 70% alcohol to prevent the spread of the disease during removal.,How can the spread of canker disease be prevented during the removal of infected tree parts?,Removal of the infected portion with sterile knife dipped in 70% alcohol
"Use canker-resistant clones, avoid injuries to tree stems, remove infected portions with a sterile knife in 70% alcohol, and apply 10% Bordeaux paste on cut surfaces and wounds.",What steps should be followed to manage plant diseases in agroforestry effectively?,"Use of canker-resistant clones, Avoid injuries to the tree stem, Removal of the infected portion with sterile knife dipped in 70% alcohol, Application of Bordeaux paste (10%) on the cut surface and wounds"
Rosids,What is the class of the wattle tree?,6.1 Plantsystematics
Fabaceae,What is the family of the Acacia genus?,6.1 Plantsystematics
Dense spheroid crown,What type of crown does the Acacia tree have?,Chapter 6 Wattle tree (Acacia nilotica)
More than 1000 species,How many species of acacia are found throughout the world?,6.2 Distribution
Fabales,To which order do wattles (Acacia nilotica) belong?,6.1 Plantsystematics
Tannins for leather tanning and adhesives,What can be produced from black wattle tree bark?,Chapter 6 Wattle tree (Acacia nilotica)
Auxiliary pairs,"Where is the straight, light grey spines presence mostly found on the tree?",Chapter 6 Wattle tree (Acacia nilotica)
25% more protein,What percentage more protein do wattle seeds contain compared to cereals?,Chapter 6 Wattle tree (Acacia nilotica)
"Fissured bark, grey-pinkish slash that exudes reddish low-quality gum",What sort of bark does the Acacia tree have?,Chapter 6 Wattle tree (Acacia nilotica)
Fomes badius (trunk rot); Fusarium pallidoroseum (root rot); Ganoderma lucidum; Polyporus gilves (butt rot).,List the common fungal diseases affecting mature acacia trees.,6.3 Common diseases
Ground into flour and used as a food supplement,How are acacia seeds typically ground and used in Australia?,Chapter 6 Wattle tree (Acacia nilotica)
Seed treatment with captan (2g/kg seed),Which seed treatment helps protect acacia from certain fungal diseases?,6.3 Common diseases
Erysiphe acaciae,Name a foliar disease that threatens acacia nurseries.,6.3 Common diseases
5-20 metres,What height can the Acacia tree grow to?,Chapter 6 Wattle tree (Acacia nilotica)
Durability and strength,Why is acacia timber preferred for agricultural implements?,Chapter 6 Wattle tree (Acacia nilotica)
"Alpine settings, rainforests, woodlands, grasslands, coastal dunes, and deserts.",In which habitats are acacias found?,6.2 Distribution
Australia,Which region has the second most spread of acacias?,6.2 Distribution
Used in tanning industries and production of waterproof adhesives.,How do acacia species benefit agriculturally apart from timber?,Chapter 6 Wattle tree (Acacia nilotica)
"Fomes badius (trunk rot), Fusarium pallidoroseum (root rot), Ganoderma lucidum, Polyporus gilves (butt rot).",Which types of fungi commonly attack mature acacia trees?,6.3 Common diseases
It is used in various traditional practices and can be edible.,What is the significance of the red gum exuded by Acacia trees?,Chapter 6 Wattle tree (Acacia nilotica)
Fusarium solani and Ganoderma lucidum,What is the scientific name for Acacia mortality?,"6.4.1 Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
Stag head appearance of the tree canopy due to severe defoliation.,What is a visual symptom of acacia tree mortality?,"Symptoms:
Stag head appearance of the tree canopy due to severe defoliation"
To treat the cut surfaces of acacia trees.,What is the purpose of applying Bordeaux paste?,"Management:
Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO4+10 litres of water)"
Termites and borers.,Which insect pests are a concern for acacia?,"Symptoms:
Presence of insect pests and signs of damage caused by the termites and borers"
Root feed with tridemorph 75% EC 2ml in 100 ml water once a month for 3 months.,What is the recommended use for tridemorph in acacia management?,"Management:
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months"
Root rot and blackening of feeder roots.,What are the symptoms of acacia tree mortality related to feeder roots?,"Symptoms:
Root rot and blackening of feeder roots"
By the stag head appearance of the tree canopy due to severe defoliation.,How can acacia tree mortality be visually identified in its advanced stage?,"Symptoms:
Stag head appearance of the tree canopy due to severe defoliation"
Avoid wounds and cuts to the roots and stems.,What are the management practices to avoid damage to acacia roots and stems?,"Management:
Avoid wounds and cuts to the roots/stem"
Application of lime paste to the tree base.,What is one method to prevent secondary infections in acacia trees?,"Management:
Application of lime paste to the tree base to avoid secondary infections"
Acacia mortality.,Identify one major pathological problem in acacia.,6.4 Major pathological problems in acacia
To avoid the spread of the disease.,Why should fruiting bodies be removed from infected acacia trees?,"Management:
Removal of fruiting bodies if any from infected trees to avoid the disease spread"
It can contribute to acacia mortality.,What is the effect of water logging on acacia trees?,"6.4.1 Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
Prevent the seedlings from prolonged water logging and/or drought.,List one step to manage acacia tree mortality due to drought.,"Management:
Preventing the seedlings from prolonged water logging and/or drought"
Discoloration of vascular tissue of the roots.,What symptom indicates the vascular tissue of acacia roots is affected?,"Symptoms:
Discoloration of vascular tissue of the roots"
Use quality planting material.,What is crucial for planting acacia trees to prevent mortality?,"Management:
Use of quality planting material"
It indicates an infection that contributes to acacia mortality.,Why is the presence of bracket fungi fruiting bodies at the tree base concerning?,"Symptoms:
Presence of bracket fungi fruiting bodies at the tree base"
"Insect pest attack, water logging, and drought conditions.",What environmental conditions can lead to acacia mortality?,"6.4.1 Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
Remove fruiting bodies from infected trees.,What is the action advised while dealing with infected acacia trees to avoid disease spread?,"Management:
Removal of fruiting bodies if any from infected trees to avoid the disease spread"
Quality planting material.,What kind of planting material should be used for acacia trees to prevent diseases?,"Management:
Use of quality planting material"
Once a month for 3 months.,How often should the root feed with tridemorph be administered to acacia trees?,"Management:
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months"
Ravenelia acaciae-arabicae,What is the scientific name of Acacia rust?,"6.4.2, Acacia rust (Ravenelia acaciae-arabicae)"
Rusty brown pustules,What is a key visual symptom of Acacia rust on leaves?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts"
Malformation and hypertrophy,How does Acacia rust affect the leaf rachis?,"Symptoms: Malformation and hypertrophy on leaf rachis, pods and the stem"
1ml per litre,What is the recommended dosage of Azoxystrobin for severe Acacia rust infection?,Management: Azoxystrobin 23% EC @ 1ml/ litre spray is recommended dosage if the infection is severe
Sprinkler irrigation,What should be avoided to prevent the advent of Acacia rust in the nursery?,Management: Avoid sprinkler irrigation at the advent of disease in the nursery
Use of rust-resistant planting material,What method is considered the best to prevent Acacia rust losses?,Management: Use of rust-resistant planting material is the best method to prevent the losses
Rusty brown pustules form,How does Acacia rust affect the floral parts?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts"
Remove and bury them under soil,What should be done to the infected seedlings to manage Acacia rust?,Management: Removal of infected seedlings and carefully burial underneath soil
Large conspicuous galls,What large formations are induced in severe stages of Acacia rust?,Symptoms: Large conspicuous galls in severe stages induced by the aecial stage of the fungus
The aecial stage,In which stage are large conspicuous galls induced by Acacia rust?,Symptoms: Large conspicuous galls in severe stages induced by the aecial stage of the fungus
Sprinkler irrigation,What type of irrigation should be avoided upon the advent of Acacia rust?,Management: Avoid sprinkler irrigation at the advent of disease in the nursery
It helps prevent losses due to the disease.,Why is the use of rust-resistant planting material important in managing Acacia rust?,Management: Use of rust-resistant planting material is the best method to prevent the losses
Prevents losses,What is the benefit of using rust-resistant planting material?,Management: Use of rust-resistant planting material is the best method to prevent the losses
Acacia nilotica,In which plant species are rust pustules shown in the provided images?,Rust pustules in Acacia nilotica
Dhilayas et al. 2013,Who is credited for the provided images of rust pustules?,Rust pustules in Acacia nilotica (Dhilayas et al. 2013)
It is considered the best method,What is the occurrence rate of rust-resistant planting method effectiveness against Acacia rust?,Management: Use of rust-resistant planting material is the best method to prevent the losses
Rusty brown pustules on floral parts,What are the symptoms of Acacia rust on floral parts?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts"
Removal of infected seedlings and careful burial underneath soil,What management practice involves physical handling of seedlings to manage Acacia rust?,Management: Removal of infected seedlings and carefully burial underneath soil
Rusty brown pustules on leaves,What are the symptoms of Acacia rust on leaves?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts"
"Symptoms include rusty brown pustules, malformation and hypertrophy, and large galls. Management includes using rust-resistant planting material, avoiding sprinkler irrigation, removing infected seedlings, and applying Azoxystrobin spray.",What are the primary symptoms and management strategies for Acacia rust outlined in the text?,"Symptoms: Rusty brown pustules on leaves, stems and floral parts, Malformation and hypertrophy on leaf rachis, pods and the stem, Large conspicuous galls in severe stages induced by the aecial stage of the fungus. Management: Use of rust-resistant planting material is the best method to prevent the losses, Avoid sprinkler irrigation at the advent of disease in the nursery, Removal of infected seedlings and carefully burial underneath soil, Azoxystrobin 23% EC @ 1ml/ litre spray is recommended dosage if the infection is severe"
Plantae,What is the kingdom of Dalbergia sissoo?,7.1 Plant systematics
sissoo,What species does Dalbergia sissoo belong to?,7.1 Plant systematics
Cultivated in tropical and subtropical regions of Asia and Africa.,In which regions is Dalbergia sissoo widely cultivated?,7.2 Distribution
Fabaceae,To which family does Dalbergia sissoo belong?,7.1 Plant systematics
Dalbergia sissoo,What is the scientific name of Indian Rosewood?,Chapter 7
"Used for furniture, panelling, ornamental work, agricultural implements, gun carriages.",For what purposes is shisham wood used?,Chapter 7
"It is strong, close-grained, durable, and ornamental.",What are the main features of Dalbergia sissoo wood?,Chapter 7
"Treats skin and blood diseases, syphilis, stomach problems, and as an expectorant.",What medicinal uses does Dalbergia sissoo have?,Chapter 7
It is used as molluscicide to inhibit freshwater snail problem.,How is the traditional fruit extract of Dalbergia sissoo used?,Chapter 7
India and Iran,In which countries does Dalbergia sissoo grow naturally?,7.2 Distribution
"Kashmir, Assam, Bengal, Sikkim, Uttar Pradesh, central and southern India.",Where in India is Dalbergia sissoo mostly grown?,7.2 Distribution
Up to 1400 meters above mean sea level.,What is the height range of Dalbergia sissoo in nature?,7.2 Distribution
Dry root rot caused by Rhizoctonia solani and Fusarium oxysporum f. sp. dalbergiae.,What kind of damage causes irreversible loss to shisham during seedling stage?,7.3 Common diseases
Grazing wounds may require regular irrigation to protect the plant.,How do grazing wounds affect Dalbergia sissoo?,7.3 Common diseases
Fungal and insect damage.,What types of diseases cause high losses in Dalbergia sissoo cultivation?,7.3 Common diseases
Cercospora sissoo.,What is the leaf spot disease affecting Dalbergia sissoo?,7.3 Common diseases
"Readily grazed by animals, used as fodder especially during winter season.",What are the notable features of the leaves and young shoots of Dalbergia sissoo?,Chapter 7
Its high significance in tropical and subtropical climatic regions.,What makes Dalbergia sissoo significant in reforestation programs?,Chapter 7
"Rich color, smoothness, and fine finish are highly prized in furniture making.",What notable physical attributes does Dalbergia sissoo wood bring to furniture making?,Chapter 7
Rosids,What is the class of Dalbergia sissoo?,7.1 Plant systematics
Black leaf spot,What disease is caused by Phyllachora dalbergiae?,"Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians)"
Fusarium oxysporum and Ganoderma lucidum,Which fungi are primarily responsible for shisham mortality?,The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum)
Black leaf spots,What kind of spots are caused by Phyllachora dalbergiae?,"Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians)"
"Termite attack, borers, defoliators, and hoppers",What insects are considered secondary factors in shisham mortality?,"Being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot",What causes death of the whole shisham plant?,"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains."
Shisham mortality,What is a major issue of concern for Dalbergia spp.?,Under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.
Canker,Which disease is caused by Phoma nivea?,"Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians)"
1995 to 2005,From which period has shisham mortality been a complex problem?,Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp.
"Termite attack, borers, defoliators, and hoppers",Which types of insects are secondary factors in shisham mortality?,"Insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
"Phyllosticta sissoc, Myrothecium roridum, Alternaria alternate",What pathogens are commonly observed in shisham nurseries?,"Phyllosticta sissoc, Myrothecium roridum; Alternaria alternate; Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians)"
"Phyllosticta sissoc, Myrothecium roridum, Alternaria alternate",What is the common disease in shisham nurseries?,"Phyllosticta sissoc, Myrothecium roridum; Alternaria alternate; Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae)"
"Causes death of whole plant, prone to fall during windy rains",What are the effects of root/butt rot in shisham plants?,"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains."
Fusarium oxysporum and Ganoderma lucidum,Which fungi are the primary causes for shisham mortality?,The fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor
Root/butt rot and trunk rot,What makes shisham trees prone to fall during rainy winds?,The rotted trees are prone to fall during windy rains.
Mono-cultivation plots of Dalbergia spp.,How is shisham mortality characterized in terms of cultivation?,Under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.
Black leaf spot,Which disease affects both nurseries and mature plants?,"Phyllosticta sissoc, Myrothecium roridum; Alternaria alternate; Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae)"
Fusarium oxysporum and Ganoderma lucidum,What major factors contribute to shisham mortality?,The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum)
Fungi and insect pests,What causes the primary damage in shisham decline?,"The fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
"Termite attack, borers, defoliators, and hoppers",What are the secondary factors leading to shisham mortality?,"Insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones."
"Phyllachora dalbergiae, Phyllactinia dalbergiae, Phoma nivea, Hypoxylon investians",What pathogens responsible are commonly observed in shisham foliage?,"Black leaf spot (Phyllachora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants."
Defoliation of the entire tree.,What is one key symptom of defoliation mentioned?,Symptoms: ➢ Defoliation of entire tree and/or the tree is left with leafless branches
Presence of fruiting bodies of mycelium at the tree base.,What is the indication that the tree might have mycelium?,Symptoms: ➢ Presence of fruiting bodies of mycelium at the tree base
Sandy soils.,Which soil types are recommended for planting?,Management: ➢ Sandy soils/light textures soils are preferable for planting with good drainage
Once a month for 3 months.,How often should root feed with tridemorph be applied?,Management: ➢ Root feed with tridemorph 75% EC 2ml in 100ml water once in a month for 3 months
Lime paste.,Which chemical is used in the application paste to prevent termites?,Management: ➢ Application of lime paste to the tree base to prevent entry of termites and other secondary insects/pathogens
Die back of standing usually occurs within 3 to 4 years of infection.,How is die back progression described?,Symptoms: ➢ Die back of standing (normally within 3 to 4 years of infection)
Avoid waterlogging near the tree base.,What is a recommendation for avoiding waterlogging?,Management: ➢ Avoid waterlogging near the tree base
Avoid wounds and cuts to the roots/stem to prevent stem canker.,How should wounds and cuts be managed to prevent stem canker?,Management: ➢ Avoid wounds and cuts to the roots/stem
Signs of secondary infection such as termite and borer attack.,What visible symptom might indicate termite or borer attack?,Symptoms: ➢ Signs of secondary infection such as termite and borer attack
